"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","fare_revenues_per_unlinked","fare_revenues_per_unlinked_1","fare_revenues_per_total","fare_revenues_per_total_1","cost_per_hour","cost_per_hour_questionable","passengers_per_hour","passengers_per_hour_1","cost_per_passenger","cost_per_passenger_1","cost_per_passenger_mile","cost_per_passenger_mile_1","fare_revenues_earned","fare_revenues_earned_1","total_operating_expenses","total_operating_expenses_1","unlinked_passenger_trips","unlinked_passenger_trips_1","vehicle_revenue_hours","vehicle_revenue_hours_1","passenger_miles","passenger_miles_questionable","vehicle_revenue_miles","vehicle_revenue_miles_1"
"Transit Authority of River City","Louisville","KY","40018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51755","Louisville/Jefferson County, KY--IN","974397","281","MB","Bus","DO","159","1.1313",,"0.0846",,"143.5647",,"10.7363",,"13.3719",,"4.0644",,"6655561",,"78665431",,"5882872",,"547944",,"19354649",,"6520834",
"Transit Authority of River City","Louisville","KY","40018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51755","Louisville/Jefferson County, KY--IN","974397","281","DR","Demand Response","PT","77","3.1329",,"0.0586",,"71.2073",,"1.3324",,"53.4439",,"6.023",,"663076",,"11311347",,"211649",,"158851",,"1878019",,"2189158",
"Transit Authority of River City","Louisville","KY","40018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51755","Louisville/Jefferson County, KY--IN","974397","281","DR","Demand Response","TX","44","1.9098",,"0.0571",,"44.9212",,"1.342",,"33.4735",,"3.0348",,"283849",,"4975161",,"148630",,"110753",,"1639345",,"1674234",
"Transit Authority of River City","Louisville","KY","40018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51755","Louisville/Jefferson County, KY--IN","974397","281","MB","Bus","PT","1","2",,"0.0771",,"54.7031",,"2.1093",,"25.9339",,"9.2957",,"7872",,"102076",,"3936",,"1866",,"10981",,"22434",
"Fairfax County, VA, dba: Fairfax Connector Bus System","Fairfax","VA","30068","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","278","MB","Bus","PT","278","0.9712",,"0.0736",,"130.1047",,"9.8555",,"13.2013",,"2.4864",,"8123934",,"110431293",,"8365190",,"848788",,"44414321",,"11068404",
"Victor Valley Transit Authority","Hesperia","CA","90148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","90541","Victorville--Hesperia--Apple Valley, CA","355816","277","VP","Vanpool","PT","189","6.6549",,"0.8391",,"37.592",,"4.7401",,"7.9306",,"0.1553",,"3125144",,"3724203",,"469601",,"99069",,"23983922",,"5009090",
"Victor Valley Transit Authority","Hesperia","CA","90148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","90541","Victorville--Hesperia--Apple Valley, CA","355816","277","MB","Bus","PT","47","1.5016",,"0.043",,"144.1106",,"4.1284",,"34.9075",,"4.8136",,"1087769",,"25287950",,"724427",,"175476",,"5253384",,"3125466",
"Victor Valley Transit Authority","Hesperia","CA","90148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","90541","Victorville--Hesperia--Apple Valley, CA","355816","277","DR","Demand Response","PT","35","3.0835",,"0.0567",,"132.8251",,"2.4442",,"54.3425",,"5.4271",,"361095",,"6363781",,"117105",,"47911",,"1172597",,"711050",
"Victor Valley Transit Authority","Hesperia","CA","90148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","90541","Victorville--Hesperia--Apple Valley, CA","355816","277","CB","Commuter Bus","PT","6","12.1692",,"0.4705",,"175.2512",,"6.7756",,"25.8651",,"0.4182",,"479136",,"1018385",,"39373",,"5811",,"2435108",,"224453",
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail","Buffalo","NY","20004","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","11350","Buffalo, NY","948864","273","MB","Bus","DO","197","1.8427",,"0.2074",,"163.8498",,"18.4436",,"8.8838",,"2.8052",,"21806055",,"105129982",,"11833867",,"641624",,"37477239",,"6874780",
"Central Ohio Transit Authority","Columbus","OH","50016","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","19234","Columbus, OH","1567254","273","MB","Bus","DO","189","1.134",,"0.0751",,"209.3125",,"13.8658",,"15.0956",,"3.4905",,"12619844",,"167997746",,"11128906",,"802617",,"48130550",,"9692809",
"Pinellas Suncoast Transit Authority","Saint Petersburg","FL","40027","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","86599","Tampa--St. Petersburg, FL","2783045","273","MB","Bus","DO","179","0.7452",,"0.0693",,"146.0971",,"13.5832",,"10.7557",,"1.9645",,"6359311",,"91791082",,"8534142",,"628288",,"46725592",,"8881567",
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail","Buffalo","NY","20004","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","11350","Buffalo, NY","948864","273","DR","Demand Response","DO","55","2.7738",,"0.0525",,"107.785",,"2.0403",,"52.8288",,"5.1417",,"607921",,"11578376",,"219168",,"107421",,"2251877",,"1695379",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","44479","Kennewick--Richland--Pasco, WA","255401","273","MB","Bus","DO","51","0.2621",,"0.0234",,"124.6466",,"11.1212",,"11.208",,"2.4439",,"641469",,"27434086",,"2447715",,"220095",,"11225436",,"3513119",
"Pinellas Suncoast Transit Authority","Saint Petersburg","FL","40027","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","86599","Tampa--St. Petersburg, FL","2783045","273","DR","Demand Response","PT","42","4.5993",,"0.051",,"119.2613",,"1.3215",,"90.2489",,"16.0017",,"490849",,"9631541",,"106722",,"80760",,"601908",,"1043537",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","44479","Kennewick--Richland--Pasco, WA","255401","273","DR","Demand Response","PT","37","0.0761",,"0.0035",,"70.8994",,"3.2506",,"21.8112",,"6.2206",,"14418",,"4134143",,"189542",,"58310",,"664586",,"1151046",
"Central Ohio Transit Authority","Columbus","OH","50016","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","19234","Columbus, OH","1567254","273","DR","Demand Response","DO","22","0.1951",,"0.0177",,"45.4353",,"4.1296",,"11.0024",,"4.2871",,"30679",,"1729720",,"157213",,"38070",,"403474",,"549475",
"Niagara Frontier Transportation Authority, dba: NFTA - Metro Bus & Rail","Buffalo","NY","20004","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","11350","Buffalo, NY","948864","273","LR","Light Rail","DO","21","1.3017",,"0.1081",,"420.2831",,"34.8995",,"12.0427",,"4.575",,"3225831",,"29843884",,"2478181",,"71009",,"6523299",,"752940",
"Pinellas Suncoast Transit Authority","Saint Petersburg","FL","40027","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","86599","Tampa--St. Petersburg, FL","2783045","273","DR","Demand Response","TX","19","3.8361",,"0.1518",,"100.4339",,"3.9746",,"25.2689",,"3.3578",,"225183",,"1483308",,"58701",,"14769",,"441756",,"426793",
"Pinellas Suncoast Transit Authority","Saint Petersburg","FL","40027","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","86599","Tampa--St. Petersburg, FL","2783045","273","DR","Demand Response","TN","18","5.3801",,"0.1511",,"137.2368",,"3.8541",,"35.6076",,"5.5878",,"241675",,"1599495",,"44920",,"11655",,"286249",,"286249",
"Pinellas Suncoast Transit Authority","Saint Petersburg","FL","40027","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","86599","Tampa--St. Petersburg, FL","2783045","273","MB","Bus","PT","9","0.4416",,"0.0371",,"121.9568",,"10.2521",,"11.8958",,"2.3473",,"179960",,"4847295",,"407481",,"39746",,"2065085",,"452887",
"Pinellas Suncoast Transit Authority","Saint Petersburg","FL","40027","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","86599","Tampa--St. Petersburg, FL","2783045","273","RB","Bus Rapid Transit","DO","6","0","W","0",,"133.7808",,"31.7708","W","4.2108","W","1.1052","W","0",,"4455704",,"1058158","W","33306",,"4031582","W","466384",
"City of Tucson, dba: Sun Tran","Tucson","AZ","90033","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","88732","Tucson, AZ","875441","267","MB","Bus","PT","155","0.2278",,"0.0485",,"112.0941",,"23.8428",,"4.7014",,"1.3135",,"3329327",,"68712128",,"14615275",,"612986",,"52311036",,"7354094",
"City of Tucson, dba: Sun Tran","Tucson","AZ","90033","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","88732","Tucson, AZ","875441","267","DR","Demand Response","PT","106","0.1936",,"0.0049",,"77.5376",,"1.9817",,"39.126",,"4.3473",,"92314",,"18653691",,"476759",,"240576",,"4290831",,"3376226",
"City of Tucson, dba: Sun Tran","Tucson","AZ","90033","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","88732","Tucson, AZ","875441","267","SR","Streetcar Rail","PT","6","0.1994",,"0.0695",,"193.9727",,"67.6085",,"2.8691",,"3.4547",,"332474",,"4783172",,"1667159",,"24659",,"1384530",,"192338",
"Suffolk County , dba: Suffolk County Transit","Yaphank","NY","20072","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","265","DR","Demand Response","PT","141","3.7555",,"0.0576",,"96.9925",,"1.4886",,"65.1559",,"5.0197","W","2147218",,"37252963",,"571751",,"384081",,"7421328","W","7828679",
"Suffolk County , dba: Suffolk County Transit","Yaphank","NY","20072","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","265","MB","Bus","PT","124","1.4317",,"0.0645",,"138.7063",,"6.2451",,"22.2103",,"3.1174","W","3691113",,"57262822",,"2578212",,"412835",,"18368515","W","7382508",
"City of Raleigh, dba: GoRaleigh","Raleigh","NC","40007","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","73261","Raleigh, NC","1106646","262","DR","Demand Response","TX","178","0.1073",,"0.005",,"49.1174",,"2.3068",,"21.2929",,"3.5753",,"87951",,"17447299",,"819395",,"355216",,"4879953",,"4646439",
"City of Raleigh, dba: GoRaleigh","Raleigh","NC","40007","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","73261","Raleigh, NC","1106646","262","MB","Bus","PT","84","0",,"0",,"137.0028",,"15.8153",,"8.6627",,"1.9961",,"0",,"39143630",,"4518659",,"285714",,"19610073",,"3649783",
"Suburban Mobility Authority for Regional Transportation","Detroit","MI","50031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","23824","Detroit, MI","3776890","257","MB","Bus","DO","142","1.1551",,"0.0603",,"155.4035",,"8.1173",,"19.1448",,"1.9858",,"5185854",,"85952597",,"4489616",,"553093",,"43282928",,"9710578",
"Suburban Mobility Authority for Regional Transportation","Detroit","MI","50031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","23824","Detroit, MI","3776890","257","DR","Demand Response","DO","95","1.4885",,"0.0197",,"112.9634",,"1.492",,"75.7114",,"9.3",,"355671",,"18090405",,"238939",,"160144",,"1945208",,"2612099",
"Suburban Mobility Authority for Regional Transportation","Detroit","MI","50031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","23824","Detroit, MI","3776890","257","DR","Demand Response","PT","20","2.6314",,"0.1002",,"76.8577",,"2.9263",,"26.2646",,"5.8785",,"260415",,"2343803",,"98964",,"33819",,"442161",,"397410",
"Metropolitan Transit Authority, dba: WeGo Public Transit","Madison","TN","40004","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","61273","Nashville-Davidson, TN","1158642","253","MB","Bus","DO","136","0.8816",,"0.0795",,"172.3881",,"15.5455",,"11.0893",,"2.7699",,"6882605",,"86572272",,"7806858",,"502194",,"31254461",,"6187646",
"Metropolitan Transit Authority, dba: WeGo Public Transit","Madison","TN","40004","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","61273","Nashville-Davidson, TN","1158642","253","DR","Demand Response","TX","69","5.2928",,"0.1578",,"88.854",,"2.6493",,"33.5388",,"2.7819",,"647236",,"4101321",,"122286",,"46158",,"1474266",,"1342141",
"Metropolitan Transit Authority, dba: WeGo Public Transit","Madison","TN","40004","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","61273","Nashville-Davidson, TN","1158642","253","DR","Demand Response","DO","48","2.6919",,"0.0305",,"150.7524",,"1.7074",,"88.2941",,"9.4941",,"628888",,"20627449",,"233622",,"136830",,"2172656",,"2093821",
"Atlanta-Region Transit Link Authority","Atlanta","GA","42000","State Government Unit or Department of Transportation","Full Reporter","2023","03817","Atlanta, GA","5100112","242","VP","Vanpool","PT","162","5.5971",,"0.8651",,"32.27",,"4.9876",,"6.47",,"0.1534",,"2018697",,"2333539",,"360671",,"72313",,"15211291",,"3405093",
"Mass Transportation Authority , dba: MTA Flint","Flint","MI","50032","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","29872","Flint, MI","298964","242","DR","Demand Response","DO","148","1.3075",,"0.0217",,"151.2088",,"2.5055",,"60.3501",,"6.5463",,"644199",,"29735060",,"492709",,"196649",,"4542268",,"4609089",
"Mass Transportation Authority , dba: MTA Flint","Flint","MI","50032","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","29872","Flint, MI","298964","242","MB","Bus","DO","92","1.6999",,"0.2082",,"108.0025",,"13.2264",,"8.1657",,"0.5009",,"4110599",,"19745995",,"2418166",,"182829",,"39419261",,"3388100",
"Atlanta-Region Transit Link Authority","Atlanta","GA","42000","State Government Unit or Department of Transportation","Full Reporter","2023","03817","Atlanta, GA","5100112","242","CB","Commuter Bus","PT","80","3.4802",,"0.0667",,"447.929",,"8.5836",,"52.1844",,"2.0186",,"1686535",,"25288729",,"484603",,"56457",,"12527664",,"1411534",
"Mass Transportation Authority , dba: MTA Flint","Flint","MI","50032","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","29872","Flint, MI","298964","242","DR","Demand Response","PT","2","3.4822",,"0.0599",,"82.6207",,"1.4207",,"58.1553",,"10.5357",,"8608",,"143760",,"2472",,"1740",,"13645",,"33082",
"Regional Transit Service","Rochester","NY","20113","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75664","Rochester, NY","704327","236","MB","Bus","DO","163","1.7394",,"0.1928",,"191.8819",,"21.268",,"9.0221",,"3.2421",,"15240695",,"79051112",,"8761940",,"411978",,"24382975",,"4498030",
"Regional Transit Service","Rochester","NY","20113","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75664","Rochester, NY","704327","236","DR","Demand Response","DO","69","0.8827",,"0.0152",,"132.1408",,"2.2773",,"58.0257",,"8.9288",,"350617",,"23049190",,"397224",,"174429",,"2581441",,"2859958",
"Regional Transit Service","Rochester","NY","20113","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75664","Rochester, NY","704327","236","VP","Vanpool","PT","4","14.1455",,"0.7753",,"45.0091",,"2.4669",,"18.2451",,"0.4792",,"45888",,"59187",,"3244",,"1315",,"123521",,"52936",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","18964","Columbia, SC","590407","230","DR","Demand Response","TN","134","8.2072","Q","0.9782",,"66.5735",,"7.9347","Q","8.3901","Q","3.4564","Q","669450",,"684376",,"81569","Q","10280",,"198003","Q","198003",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","65242","Olympia--Lacey, WA","208157","230","VP","Vanpool","DO","133","2.354",,"0.1548",,"42.995",,"2.828",,"15.2036",,"0.3745",,"466799",,"3014895",,"198302",,"70122",,"8049436",,"2604976",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","18964","Columbia, SC","590407","230","MB","Bus","PT","52","2.0361",,"0.1673",,"115.9128",,"9.5265",,"12.1674",,"2.2707",,"3632007",,"21704327",,"1783814",,"187247",,"9558520",,"2334605",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","65242","Olympia--Lacey, WA","208157","230","MB","Bus","DO","47","0",,"0",,"203.9729",,"16.6908",,"12.2207",,"3.0625",,"0",,"42160796",,"3449951",,"206698",,"13766600",,"2868976",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","65242","Olympia--Lacey, WA","208157","230","DR","Demand Response","DO","46","0",,"0",,"218.8271",,"1.6591",,"131.8974",,"24.1376",,"0",,"18109913",,"137303",,"82759",,"750278",,"851048",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","18964","Columbia, SC","590407","230","DR","Demand Response","PT","23","2.1749",,"0.0252",,"171.4425",,"1.9851",,"86.3641",,"7.2648",,"127603",,"5066982",,"58670",,"29555",,"697472",,"499443",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","18964","Columbia, SC","590407","230","VP","Vanpool","PT","19","5.8084",,"1.0854",,"23.6522",,"4.42",,"5.3511",,"0.1109",,"220841",,"203456",,"38021",,"8602",,"1833882",,"429616",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","65242","Olympia--Lacey, WA","208157","230","CB","Commuter Bus","DO","4","0",,"0",,"223.0466",,"10.8233",,"20.608",,"1.1916",,"0",,"2337751",,"113439",,"10481",,"1961796",,"244994",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","18964","Columbia, SC","590407","230","CB","Commuter Bus","PT","2","1.7048",,"0.0127",,"142.1828",,"1.0617",,"133.9172",,"14.3538",,"10909",,"856936",,"6399",,"6027",,"59701",,"149472",
"City of Detroit , dba: Detroit Department of Transportation","Detroit","MI","50119","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","23824","Detroit, MI","3776890","227","MB","Bus","DO","152","0.7519",,"0.0744",,"181.9357",,"18.0125",,"10.1005",,"1.9748",,"7691180",,"103323480",,"10229514",,"567912",,"52320558",,"9031965",
"Ann Arbor Area Transportation Authority","Ann Arbor","MI","50040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","02602","Ann Arbor, MI","317689","227","VP","Vanpool","PT","114","6.8817",,"0.5028",,"52.8962",,"3.8649",,"13.6865",,"0.3625",,"1102064",,"2191807",,"160144",,"41436",,"6046914",,"1860355",
"Ann Arbor Area Transportation Authority","Ann Arbor","MI","50040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","02602","Ann Arbor, MI","317689","227","MB","Bus","DO","75","0.8452",,"0.0982",,"130.5453",,"15.1708",,"8.605",,"2.5966",,"3676849",,"37435963",,"4350470",,"286766",,"14417050",,"3519655",
"City of Detroit , dba: Detroit Department of Transportation","Detroit","MI","50119","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","23824","Detroit, MI","3776890","227","DR","Demand Response","PT","75","2.3145",,"0.0941",,"43.5862",,"1.7728",,"24.5867",,"2.4519",,"559548",,"5944066",,"241759",,"136375",,"2424302",,"2569649",
"Ann Arbor Area Transportation Authority","Ann Arbor","MI","50040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","02602","Ann Arbor, MI","317689","227","DR","Demand Response","PT","35","2.0003",,"0.0242",,"164.157",,"1.9883",,"82.5615",,"14.1984",,"226386",,"9343818",,"113174",,"56920",,"658088",,"856433",
"Ann Arbor Area Transportation Authority","Ann Arbor","MI","50040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","02602","Ann Arbor, MI","317689","227","CB","Commuter Bus","PT","3","4.737",,"0.0871",,"192.9824",,"3.5475",,"54.4003",,"1.2364",,"268952",,"3088684",,"56777",,"16005",,"2498188",,"455400",
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","42346","Jacksonville, FL","1247374","225","MB","Bus","DO","115","1.0258",,"0.055",,"192.0959",,"10.3063",,"18.6386",,"3.2298",,"5896423",,"107139381",,"5748252",,"557739",,"33172196",,"7625947",
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","42346","Jacksonville, FL","1247374","225","DR","Demand Response","PT","93","2.1038",,"0.0315",,"124.2088",,"1.8572",,"66.8789",,"7.1797",,"626678",,"19921360",,"297872",,"160386",,"2774661",,"2711951",
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","42346","Jacksonville, FL","1247374","225","MB","Bus","PT","7","0.7565",,"0.0133",,"115.4556",,"2.0273",,"56.9504",,"5.1647",,"17190",,"1294142",,"22724",,"11209",,"250575",,"207995",
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","42346","Jacksonville, FL","1247374","225","CB","Commuter Bus","PT","6","2.9967",,"0.0168",,"150.8167",,"0.8475",,"177.9586",,"5.7773",,"14420",,"856337",,"4812",,"5678",,"148224",,"178139",
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","42346","Jacksonville, FL","1247374","225","MG","Monorail/Automated Guideway","DO","3","0",,"0",,"1027.4792",,"37.4527",,"27.434",,"28.8779",,"0",,"8217779",,"299547",,"7998",,"284570",,"83976",
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","42346","Jacksonville, FL","1247374","225","FB","Ferryboat","PT","1","3.3212",,"0.2571",,"1086.9473",,"84.133",,"12.9194",,"26.9207",,"1012623",,"3939097",,"304898",,"3624",,"146322",,"7183",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09946","Bremerton, WA","224449","222","MB","Bus","DO","100","1.5833",,"0.0658",,"277.7601",,"11.5411",,"24.0671",,"3.7183",,"2080325",,"31622708",,"1313942",,"113849",,"8504523",,"2212491",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09946","Bremerton, WA","224449","222","DR","Demand Response","DO","66","0.7675",,"0.0115",,"205.3895",,"3.0651",,"67.0085",,"11.1508",,"192498",,"16805992",,"250804",,"81825",,"1507150",,"1273013",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09946","Bremerton, WA","224449","222","VP","Vanpool","DO","48","3.166",,"0.2013",,"69.9947",,"4.4508",,"15.7263",,"0.6203",,"251318",,"1248355",,"79380",,"17835",,"2012472",,"534730",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09946","Bremerton, WA","224449","222","FB","Ferryboat","DO","6","3.7036",,"0.2221",,"1001.9535",,"60.082",,"16.6764",,"1.5168",,"4045190",,"18214512",,"1092230",,"18179",,"12008216",,"312823",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","09946","Bremerton, WA","224449","222","DR","Demand Response","TX","2","1.9568",,"0.0192",,"93.1724",,"0.9128",,"102.0699",,"4.5631",,"5430",,"283244",,"2775",,"3040",,"62073",,"55601",
"Connecticut Department of Transportation - CTTRANSIT - Hartford Division, dba: CTTransit","Hartford","CT","10048","State Government Unit or Department of Transportation","Full Reporter","2023","37243","Hartford, CT","977158","218","MB","Bus","DO","209","0.2059","Q","0.0264",,"156.529","Q","20.0695","Q","7.7993","Q","1.8034","Q","2875750",,"108947645",,"13968837","Q","696022","Q","60413371","Q","8701904","Q"
"Connecticut Department of Transportation - CTTRANSIT - Hartford Division, dba: CTTransit","Hartford","CT","10048","State Government Unit or Department of Transportation","Full Reporter","2023","37243","Hartford, CT","977158","218","RB","Bus Rapid Transit","DO","9","0.1867","Q","0.0203",,"270.5666","Q","29.4707","Q","9.1809","Q","1.6644","Q","216454",,"10646526",,"1159643","Q","39349","Q","6396672","Q","649869","Q"
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit","Port Huron","MI","50148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71155","Port Huron, MI","82226","213","DR","Demand Response","PT","165","7.9017",,"0.5715",,"47.3129",,"3.422",,"13.8261",,"0.8269",,"1839261",,"3218271",,"232767",,"68021",,"3892019",,"1078025",
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit","Port Huron","MI","50148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71155","Port Huron, MI","82226","213","DR","Demand Response","DO","36","6.8624",,"0.1984",,"121.0685",,"3.5005",,"34.5864",,"3.3517",,"1421139",,"7162535",,"207091",,"59161",,"2136959",,"927866",
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit","Port Huron","MI","50148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71155","Port Huron, MI","82226","213","MB","Bus","DO","9","0.3418",,"0.0484",,"119.2799",,"16.8854",,"7.0641",,"2.1441",,"189161",,"3909041",,"553368",,"32772",,"1823162",,"400191",
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit","Port Huron","MI","50148","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","71155","Port Huron, MI","82226","213","CB","Commuter Bus","DO","3","0.342",,"0.0062",,"125.0932",,"2.2858",,"54.7253",,"2.1436",,"2694",,"431071",,"7877",,"3446",,"201100",,"97719",
"Tampa Bay Area Regional Transit Authority",,"FL","40200","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","86599","Tampa--St. Petersburg, FL","2783045","212","VP","Vanpool","PT","212","6.1711",,"1.1193",,"25.0987",,"4.5524",,"5.5133",,"0.1835",,"2426992",,"2168278",,"393283",,"86390",,"11813691",,"3394268",
"Riverside Transit Agency","Riverside","CA","90031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75340","Riverside--San Bernardino, CA","2276703","211","MB","Bus","DO","77","0.9066",,"0.0671",,"166.6104",,"12.3268",,"13.5161",,"2.1102",,"3705758",,"55244688",,"4087331",,"331580",,"26180098",,"4362529",
"Riverside Transit Agency","Riverside","CA","90031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75340","Riverside--San Bernardino, CA","2276703","211","DR","Demand Response","PT","77","4.3258",,"0.0595",,"130.7218",,"1.7977",,"72.7143",,"7.4918",,"970134",,"16307412",,"224267",,"124749",,"2176705",,"2206189",
"Riverside Transit Agency","Riverside","CA","90031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75340","Riverside--San Bernardino, CA","2276703","211","MB","Bus","PT","49","1.5394",,"0.079",,"106.0095",,"5.4421",,"19.4796",,"1.8902",,"1194512",,"15115042",,"775941",,"142582",,"7996677",,"2125196",
"Riverside Transit Agency","Riverside","CA","90031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75340","Riverside--San Bernardino, CA","2276703","211","CB","Commuter Bus","DO","8","1.7606",,"0.062",,"221.9344",,"7.8173",,"28.3901",,"0.8352",,"279796",,"4511704",,"158918",,"20329",,"5401966",,"545059",
"Central Arkansas Development Council, dba: South Central Arkansas Transit","Benton","AR","60246","Private-Non-Profit Corporation","Reduced Reporter","2023","50392","Little Rock, AR","461864","205","DR","Demand Response","DO","205","11.6024",,"0.1975",,"84.6637",,"1.441",,"58.7521",,"0",,"4524808",,"22912630",,"389988",,"270631",,"0",,"5079346",
